 t-Modal velocity.
 wavevector:          16 Branch:           1
 t_evo real  imag
   11.38500     -8.347283451584558E-012 -1.163789134499981E-011
   11.40000     -1.279394672980045E-013  1.079939425337289E-012
   11.41500      4.746581500305759E-012  1.288265837521010E-011
   11.43000      7.301037009313832E-012  1.113851196100689E-011
   11.44500      8.388894582889028E-013  1.582429998153657E-012
   11.46000     -7.278325969447928E-012 -3.188056721838047E-012
   11.47500     -1.414106394217287E-011 -1.124608743048394E-011
   11.49000     -4.655290699985556E-014 -6.336226479824246E-012
   11.50500      7.682711992603113E-012  1.485613236052052E-012
   11.52000      1.042336147035173E-011  7.857843503410023E-012
   11.53500      1.910770590820117E-012  4.858817809679900E-012
   11.55000     -2.715679448037604E-013 -5.048653669719907E-013
   11.56500     -1.151424883332882E-011 -7.285052715367959E-012
   11.58000     -1.196349937040458E-011 -2.844645027740545E-012
   11.59500     -3.415131367351749E-012 -8.215324421306080E-013
   11.61000      9.699730540951234E-012  3.585245998150412E-012
   11.62500      2.045677734475646E-011  5.888175612915779E-012
   11.64000      1.124886118192813E-011  7.343860995718825E-012
   11.65500     -6.941956227221208E-012 -2.924966496110119E-012
   11.67000     -1.771236257794123E-011 -1.143056103195407E-011
   11.68500     -1.440336703115962E-011 -1.429689477094536E-011
   11.70000      2.091326914163843E-012  4.307406792384701E-012
   11.71500      1.580975704248563E-011  1.350089788680702E-011
   11.73000      1.744004133993923E-011  1.053358671243191E-011
   11.74500      4.958511973294410E-012  3.065545503275516E-012
   11.76000     -1.249760750867017E-011 -1.083682372979920E-011
   11.77500     -2.189728393062988E-011 -1.214600046116263E-011
   11.79000     -7.512181766741360E-012 -2.133068476301580E-012
   11.80500      1.210515582455660E-011  7.671804233237080E-012
   11.82000      1.793700809105606E-011  7.898369827917148E-012
   11.83500      1.015386262808870E-011  7.040800961802314E-012
   11.85000     -8.907504071684676E-012  1.137101063462016E-012
   11.86500     -1.481215144048065E-011 -6.521490757445661E-012
   11.88000     -9.635954633794979E-012 -1.034080063015487E-011
   11.89500      3.325581953923978E-012 -5.607373127279952E-012
   11.91000      1.302505844244928E-011  3.360865590075007E-012
   11.92500      1.360065273631860E-011  1.119796253505327E-011
   11.94000     -1.126256731887574E-012  5.321253779911992E-012
   11.95500     -1.079875364777563E-011 -3.240751475162902E-012
   11.97000     -1.287171527465821E-011 -5.209818301161777E-012
   11.98500     -6.518227577062754E-012 -5.157299313087750E-012
   12.00000      5.302445811065413E-012 -5.988223805080312E-013
   12.01500      1.157649175473852E-011  4.301333853755741E-012
   12.03000      1.143530651058076E-011  3.481965731846420E-012
   12.04500      1.539223643614991E-012  2.463531693106899E-012
   12.06000     -9.769362337605221E-012 -4.326766064596887E-012
   12.07500     -1.082780345727630E-011 -5.339432442575731E-012
   12.09000     -2.193015173337564E-012  2.843270461180185E-012
   12.10500      3.436032891227593E-012  7.037467372814322E-012
   12.12000      9.683306973008665E-012  3.472640144179393E-012
   12.13500      8.591507167692208E-012 -5.343202670016925E-012
   12.15000     -2.916106442625271E-012 -8.473029183927278E-012
   12.16500     -1.038468591646834E-011 -4.778487246163474E-012
   12.18000     -1.362510869050278E-012  2.447109328746265E-012
   12.19500      5.069684545116557E-012  7.794831331387569E-012
   12.21000     -2.309382995288845E-012  4.520931113874426E-012
   12.22500      2.510108312798951E-012 -1.743377813299553E-012
   12.24000      1.226470505074861E-012 -9.829854062330996E-012
   12.25500     -1.004290068092701E-012 -9.996453292449871E-012
   12.27000     -4.517248005219743E-012 -3.977705211515341E-012
   12.28500     -1.384874492901499E-012  1.164016356951588E-011
   12.30000     -9.036601634746014E-013  1.200331686438354E-011
   12.31500      5.634750616315129E-012  6.413878739543481E-012
   12.33000      8.186842898990204E-012 -9.102060790142524E-012
   12.34500      1.752944543015209E-012 -9.746647097234952E-012
   12.36000     -1.118002279682809E-011 -3.480610065443640E-012
   12.37500     -1.024532091562337E-011  6.851486699165323E-012
   12.39000     -8.715778041934437E-013  8.609666991410098E-012
   12.40500      8.220618081560087E-012  9.960365395200908E-012
   12.42000      1.362499717751897E-011 -1.701635161247596E-012
   12.43500      3.265505651658751E-012 -1.589494481246906E-011
   12.45000     -8.330580262196844E-012 -1.184114922653112E-011
   12.46500     -1.585871210487143E-011  5.225357192670535E-012
   12.48000     -3.921196786422588E-012  7.771971607848112E-012
   12.49500      8.369285865693184E-012  1.397018113084504E-011
   12.51000      1.750165804855618E-011  3.725128915669596E-012
   12.52500      1.427114111718641E-011 -1.014282413950932E-011
   12.54000     -7.110874982396318E-012 -1.481742240174638E-011
   12.55500     -1.750224722584202E-011 -3.908814991305146E-012
   12.57000     -1.487488429025332E-011  6.208321454389280E-012
   12.58500     -2.141670026533225E-012  1.190462829925165E-011
   12.60000      1.282906389169383E-011  9.534483802874736E-012
   12.61500      1.967284567021382E-011 -2.703567098526943E-012
   12.63000      6.393513931980373E-012 -8.524189760771934E-012
   12.64500     -9.016648278811207E-012 -9.758117015315726E-012
   12.66000     -1.690353537507324E-011 -4.006513665604883E-012
   12.67500     -1.102799724576543E-011  5.326279007285632E-012
   12.69000      3.647212734290501E-012  1.081995655436812E-011
   12.70500      1.154442525672804E-011  6.986618340807804E-012
   12.72000      1.100602508992916E-011 -2.353966811059016E-015
   12.73500     -2.960682944983425E-012 -9.077736527294957E-012
   12.75000     -1.101945665015658E-011 -9.124802899539834E-012
   12.76500     -8.650538437100254E-012 -4.202206179699343E-012
   12.78000      2.736917690633599E-012  2.439158445948129E-012
   12.79500      9.788307534749671E-012  8.055922045277870E-012
   12.81000      9.799844032854129E-012  7.374002776550339E-012
   12.82500     -1.106283109263980E-012 -2.699089831239464E-012
   12.84000     -8.517747931681060E-012 -4.537731192614268E-012
   12.85500     -7.085940137482439E-012 -7.174630112870179E-012
   12.87000     -1.253292391741407E-012 -5.804759846167874E-012
   12.88500      4.060308060982366E-012  2.773465417591421E-012
   12.90000      6.272128498207388E-012  1.433539437040182E-011
   12.91500      2.888684290266870E-013  9.699256581376930E-012
   12.93000     -7.551293830658909E-013 -5.218978535612359E-012
   12.94500      1.086965829784209E-013 -1.272315997265136E-011
   12.96000     -2.347566752451279E-012 -9.875007854125807E-012
   12.97500      2.193294369125663E-012  2.523049556060874E-012
   12.99000      3.682612280114322E-012  1.065722303205005E-011
   13.00500     -1.382175623542355E-012  1.111861682280657E-011
   13.02000      2.683364910183673E-012  3.137108663599424E-012
   13.03500     -2.838537741968462E-012 -7.626018050120160E-012
   13.05000     -1.337967211220689E-012 -1.011409222477986E-011
   13.06500     -3.792374359088895E-012 -3.221835249625188E-012
   13.08000     -1.533679589715195E-012  7.286950898358118E-012
   13.09500      5.882288146292616E-012  8.325873769403586E-012
   13.11000      5.499968309844655E-012 -3.307728916960736E-013
   13.12500     -1.828419989145294E-012 -7.997805731315835E-012
   13.14000     -1.007095083787081E-011 -4.970542419795805E-012
   13.15500     -1.006591143356189E-011  3.416483737002679E-013
   13.17000      4.150631727939719E-012  3.661417326456605E-012
   13.18500      1.100705330365178E-011  3.777420648073593E-012
   13.20000      9.709751699667869E-012  4.416196741674229E-012
   13.21500      1.703223310671711E-012 -3.913942653856700E-012
   13.23000     -1.107031509530275E-011 -1.628646238407957E-012
   13.24500     -1.163787947699615E-011  3.032325272964972E-012
   13.26000     -2.132537311336641E-013  1.842545456688654E-012
   13.27500      5.225537156325560E-012 -2.969781307238154E-012
   13.29000      7.958524418115183E-012 -5.130624625584816E-012
   13.30500      4.724795576121292E-012 -6.144996262683857E-013
   13.32000     -2.347262526053582E-012  9.872592487392042E-013
   13.33500     -1.237973126779180E-011 -3.274709015544031E-012
   13.35000     -5.263015356008956E-012 -1.284198215958415E-012
   13.36500      4.433681073028363E-012  8.544156356519417E-013
   13.38000      1.003574337227210E-011  1.810213124168862E-012
   13.39500      5.383999982223380E-012  4.673411646038616E-012
   13.41000     -3.430603173765522E-012  3.375224187192356E-012
   13.42500     -7.105962267648993E-012 -2.902217003075262E-012
   13.44000     -5.939377256903776E-012 -2.574648862608052E-012
   13.45500     -3.028269072902510E-012 -2.525166728891779E-012
   13.47000      4.224992000228826E-012  1.035688245667398E-012
   13.48500      1.214762596913790E-011  4.997063982608632E-012
   13.50000      7.935603455416399E-012  4.744622189510963E-012
   13.51500      2.007653457476166E-012 -3.878180764258935E-013
   13.53000     -6.206485299782707E-012 -3.436590005931847E-012
   13.54500     -1.022304926547261E-011 -2.875416586862668E-012
   13.56000     -4.806470510839399E-012 -1.650425143520848E-012
   13.57500      6.566337723762514E-013  3.120083252488879E-012
   13.59000      8.199524880860708E-012  2.370393640662703E-012
   13.60500      1.075972486157520E-011 -3.820903268791877E-012
   13.62000      9.040285857572297E-014 -7.383322528802062E-012
   13.63500     -9.761389901757267E-012 -3.531682849287237E-012
   13.65000     -1.019458029116943E-011  4.899552237500452E-012
   13.66500     -3.788359114761630E-012  6.501071135531403E-012
   13.68000      1.132175514156487E-011  4.698899066491883E-013
   13.69500      1.367990364825736E-011 -8.585772764703475E-012
   13.71000      2.677001991452146E-012 -2.592609886953378E-012
   13.72500     -8.874987655852351E-012  2.855690137293132E-012
   13.74000     -1.152486106779836E-011 -7.143500570664083E-013
   13.75500     -4.680740196768780E-012  4.313806339798516E-012
   13.77000      5.377635298276588E-012  5.873286093715917E-012
   13.78500      3.080328144381294E-012  1.084168386814502E-013
   13.80000      5.807191397724976E-012 -2.670416212920611E-012
   13.81500      2.189337687411704E-012 -3.801570458403333E-012
   13.83000     -4.023887819745299E-012 -3.536949525798407E-012
   13.84500     -4.735127845816145E-012  4.328459890150070E-012
   13.86000     -5.760718920326621E-012  5.235481170823689E-012
   13.87500      4.910527477128449E-012 -2.852546105627574E-013
   13.89000      8.280925182639887E-012 -7.478872029959485E-012
   13.90500      4.663010199732679E-012 -9.575635636839196E-012
   13.92000     -4.374526848823324E-012  2.190392548957444E-012
   13.93500     -1.176150615642942E-011  1.368971329177507E-011
   13.95000     -8.217503462511596E-012  1.172237197506180E-011
   13.96500      8.576984565154524E-012  4.406614545022595E-013
   13.98000      9.404365013069349E-012 -9.593677171124295E-012
   13.99500      5.914801490021283E-012 -1.604824306211941E-011
   14.01000     -1.983067036416684E-012 -8.680593081109556E-012
   14.02500     -1.006103809936447E-011  1.195983348795103E-011
   14.04000     -5.251168579068869E-012  1.746249038638705E-011
   14.05500      5.243038882741341E-012  8.155513409468176E-012
   14.07000      4.544083560500621E-012 -2.762995536283980E-012
   14.08500      2.270010698484942E-012 -1.319690648147961E-011
   14.10000      8.947891524415369E-013 -1.055065074711321E-011
   14.11500      5.700233954009602E-014 -6.077876971004939E-013
   14.13000     -4.152674868271132E-012  7.183771911138275E-012
   14.14500      1.675931361418607E-012  6.374274009245718E-012
   14.16000      3.992202972964569E-012  4.618686537473504E-012
   14.17500      3.051300063956054E-012 -2.945159130640738E-012
   14.19000     -3.850140554840359E-012 -9.095799214161312E-012
   14.20500     -3.834203503931231E-012 -3.360442648959591E-012
   14.22000     -2.241408193589799E-013 -2.968936626382638E-012
   14.23500      1.060055430329559E-012 -3.991276077997106E-013
   14.25000      6.030821921084622E-012  9.015222668363621E-012
   14.26500      1.452045847269733E-012  4.725132285916903E-012
   14.28000     -5.074138095847192E-012  1.279087909028591E-012
   14.29500     -5.341606439955266E-012 -2.147647681831463E-012
   14.31000     -7.049375480142706E-012 -8.074003765184254E-012
   14.32500      2.602014120013055E-012 -8.040194751658095E-012
   14.34000      4.591785092601470E-012 -2.472612586670095E-012
   14.35500      4.622125278946672E-012  9.339740798322679E-012
   14.37000      1.351128080937929E-012  1.281319835812806E-011
   14.38500     -4.161394547936016E-012  3.013838299836922E-012
   14.40000     -1.447741436766537E-012 -8.913928909780160E-012
   14.41500     -5.798266925776197E-012 -1.147159049037117E-011
   14.43000     -1.529390530413828E-012  1.865304818222730E-012
   14.44500      8.443626086222767E-012  2.854598315229254E-012
   14.46000      1.133028723032077E-012  5.492637095876888E-012
   14.47500     -9.494669801530744E-013  7.628151101678746E-012
   14.49000     -3.247391807203562E-012 -5.202106531303973E-014
   14.50500      1.227606683694785E-012 -7.756038842196979E-012
   14.52000      2.694509199833138E-012 -9.138841598385602E-012
   14.53500     -1.161805474352576E-012 -3.582239847440884E-012
   14.55000     -3.980691760367021E-012  9.989231493987667E-012
   14.56500     -1.440918678539062E-012  1.455532248557620E-011
   14.58000      3.745949707040417E-012  1.011904056293205E-013
   14.59500      6.381508593515020E-012 -8.938622656055667E-012
   14.61000      2.046405499116222E-012 -5.039278219900247E-012
   14.62500     -6.815270479099861E-012 -9.519403759562848E-014
   14.64000     -7.102327672694310E-012  3.439141515918292E-012
   14.65500      1.624684680018966E-012 -1.082125076597417E-012
   14.67000      7.399963941004910E-012 -1.837180113828976E-012
   14.68500      8.470160265959039E-012 -1.010339793057153E-012
   14.70000      3.594093863375365E-012  1.644888634845804E-012
   14.71500     -8.175264485258088E-012  4.780321022265724E-012
   14.73000     -1.022701945698300E-011  4.029257471267666E-012
   14.74500      2.156619553355054E-013 -2.833383328908687E-012
   14.76000      8.603971085673640E-012 -8.717278118942375E-012
   14.77500      1.147420477079752E-011 -4.538131566566761E-012
   14.79000      4.657057633568830E-012  2.147341460262334E-012
   14.80500     -8.513107355926961E-012  8.512138332429865E-012
   14.82000     -1.233223714214766E-011  2.223936723932879E-012
   14.83500     -7.187212022795438E-012 -4.817385739868495E-012
   14.85000      7.169015283840301E-013 -7.498090923125821E-012
   14.86500      8.187755333780981E-012 -2.985914118007874E-012
   14.88000      1.050589747127210E-011  1.277835974466992E-012
   14.89500      3.257502446016693E-012  5.918721349723626E-012
   14.91000     -5.120063461263581E-012  7.497777442586529E-012
   14.92500     -1.339339588873323E-011  5.218318358228297E-012
   14.94000     -7.190621651880447E-012 -5.049706315604507E-012
   14.95500      4.746042620490006E-012 -1.073607892566125E-011
   14.97000      9.966148136691916E-012 -5.301923047148153E-012
   14.98500      5.151658516025101E-012  2.291131937613033E-012
   15.00000      4.103487313626445E-013  9.704739871810102E-012
   15.01500     -5.916869587354283E-012  5.382242233468200E-012
   15.03000     -4.224744155418574E-012  4.742071608760599E-013
   15.04500     -2.584687037225985E-012 -2.372444892860766E-012
   15.06000     -2.431332437661374E-012 -6.486689547926998E-012
   15.07500      4.601608390347715E-012 -5.766423926392813E-012
   15.09000      7.553358234771564E-012 -1.545239204759116E-012
   15.10500      2.491767171395672E-012  5.248810631564804E-012
   15.12000     -5.352458790152233E-012  1.069783888827229E-011
   15.13500     -4.321790047233632E-012  4.007710152136683E-012
   15.15000      3.903430804837642E-012 -7.823898909646458E-012
   15.16500      3.608674031651832E-012 -1.053177982381073E-011
   15.18000      2.231632522023999E-012 -2.402266012879512E-012
   15.19500     -8.005974921241507E-013  8.591922157570620E-012
   15.21000     -7.556540320941402E-013  9.493432257209511E-012
   15.22500     -2.705974463376112E-012  4.970719008026179E-012
   15.24000     -3.482419566671077E-012 -6.820551107779269E-012
   15.25500     -1.622318601678631E-012 -9.564765915065638E-012
   15.27000      3.339549911529823E-012 -3.634484980928129E-012
   15.28500      1.403854628426290E-012 -2.029323870269529E-012
   15.30000     -2.466617197774308E-013  7.493075428805479E-012
   15.31500      1.448910667473040E-012  1.000501354803474E-011
   15.33000     -1.575195725482698E-012  2.933943984601140E-012
   15.34500     -4.048077259307562E-013 -7.018497121421839E-012
   15.36000      4.995012149816222E-013 -1.450529994100735E-011
   15.37500      2.285963339455784E-012 -5.972846345542347E-012
